question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
A small electric motor is used to raise a weight of 2N through a vertical height of 80cm in 4sec. The efficiency of the motor is 20 \%. What is the electrical power supplied to the motor?,,difficult,"$\mathrm{F}=2 \mathrm{N}$
$\mathrm{h}=80 \mathrm{cm}=0.80 \mathrm{m}$
$t=4 \sec$
efficiency $=20 \%$
efficiency $=(\text { Output power } / \text { input power }) \times 100$
output power $=$ efficiency $x$ input power
output power $=0.20 \mathrm{x}(\mathrm{W} / \mathrm{t})$
output power $=0.20 \mathrm{x}(\mathrm{Fd} / \mathrm{t})$
output power $=0.20 \times(2 \times 0.80 / 4)$
output power $=0.08$ Watt",,29,0.08W,2W,0.80W,200W,,,,,1,,,,,,,
 1 Wh =_____J,,moderate,"\begin{array}{l}
\text { Unit of work }=\mathrm{Nm}=\mathrm{J} \\
1 \mathrm{Wh}=1(\mathrm{J} / \mathrm{sec})(60 \times 60 \mathrm{sec}) \\
1 \mathrm{Wh}=3.6 \times 10^{3} \mathrm{Nm}=3.6 \times 10^{3} \mathrm{J}
\end{array}",,29,3.6 \times 10^{8},3.6,3.6M,3.6 \times 10^{3},,,,,4,,,,,,,
 The power of a pump which can pump 100kg of water to height of 100m in 5sec is,,moderate,"We know that
Power $=\mathrm{W} / \mathrm{t}$
Power $=\mathrm{mgh} / \mathrm{t}$
Power $=(100)(100)(10) / 5$
Power $=20 \mathrm{kW}$",,29,20kW,200kW,40kW,4kW,,,,,1,,,,,,,
Slope of energy time graph gives,,moderate,"We know that
Slope = change in y axis/ change in x axis
Slope = change in work/ change in  time
So slope = W/t
P =W/t
",,29,Acceleration,Momentum,Power,Work,,,,,3,,,,,,,
The dimension of power is,,difficult,"We know that
Power $=\mathrm{W} / \mathrm{t}=\mathrm{Nm} / \mathrm{s}$
Power $=\mathrm{kgms}^{-2} \mathrm{m} \mathrm{s}^{-1}$
Power $=\mathrm{kg} \mathrm{m}^{2} \mathrm{s}^{-3}$
Dimension $=\left[\mathrm{M} \mathrm{L}^{2} \mathrm{T}^{-3}\right]$",,29,\left[\mathrm{M} \mathrm{L}^{2} \mathrm{T}^{-3}\right],\left[\mathrm{M} \mathrm{L} \mathrm{T}^{-2}\right],\left[\mathrm{M} \mathrm{L}^{2} \mathrm{T}^{-3}\right],\left[\mathrm{M} \mathrm{L}^{2} \mathrm{T}^{3}\right],,,,,3,,,,,,,
Which of the following is the unit PE,,moderate,"Calorie is the bigger unit of joule
1 calorie $=4184 \mathrm{J}$
$\mathrm{PE}=\mathrm{Work}=\mathrm{Joule}$
$\mathrm{eV}=(\mathrm{C})(\text { Volts })$
We know that
Voltage $=$ Work done/charge
Work done $=\mathrm{eV}$",,29,Joule,eV,Calorie,All,,,,,4,,,,,,,
Which of the following is the non-conservative force,,easy,Work done in conservative field is zero. A conservative force is a force with the property that the total work done in moving a particle between two points is independent of the taken path. Fiction force and elastic force is non conservative field because it does not store energy,,29,Elastic force,Gravitational force,Frictional force,Both A and B,,,,,4,,,,,,,
For which angle the work is said to be minimum?,,easy,"We know that
$\mathrm{W}=\mathrm{Fd} \cos \theta$
Work will be minimum if
$\operatorname{cose}=-1$
\[
e=180
\]",,29,0,90,180,45,,,,,3,,,,,,,
 force of 200N acts on a body through a distance of 10m. What must be the angle between force and displacement such that work comes out to be 1000J?,,moderate,"We know that
$\mathrm{W}=\mathrm{Fd} \operatorname{cose}$
$\operatorname{cose}=\mathrm{W} / \mathrm{Fd}$
$\operatorname{cose}=1000 /(200 \times 10)$
$\cos \theta=0.5$
\begin{tabular}{l}
$\circ=60$ \\
\hline
\end{tabular}",,29,90,30,0,60,,,,,4,,,,,,,
At infinity absolute potential energy will become,,moderate,If we are able to move the particle from certain height it will attract towards Earth due to gravitational force. But we increase the distance say infinite then the object will left the gravitation field and posses no force of attraction. Hence absolute potential energy is zero.,,29,Infinite,zero,Minimum,None,,,,,2,,,,,,,
 The KE require to project the body of mass m from earth’s surface to infinity is,,moderate,"We know that
\[
\left.V_{\text {excape }}=\sqrt{(} 2 g R\right)
\]
And $\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}$
By putting v in $\mathrm{KE}$
$\mathrm{KE}=(1 / 2) \mathrm{m}(\sqrt{(} 2 \mathrm{gR}))^{2}$
$\mathrm{KE}=\mathrm{mgR}$",,29,mgR,3mgR,2mgR,4mgR,,,,,1,,,,,,,
"A force of 6N acts on a body for 1 m distance, the maximum work done is",,easy,"We know that
$\mathrm{W}=\mathrm{Fd} \cos \theta$
For maximum work
$\cos \theta=1$
$\mathrm{W}=6$ Joule",,29,2 units,3 units,6 units,10 units,,,,,3,,,,,,,
Tidal energy and wind energy is used to produce,,easy,Tidal and wind is initially converted into mechanical energy which is then used to produce electrical energy,,29,Charge,petrol,Electrical energy,Gasoline,,,,,3,,,,,,,
Work done will be minimum if the angle between the force and displacement is ,,moderate,"$\mathrm{W}=\mathrm{Fd} \cos \theta$
For minimum work
$\cos \theta=-1$
and $e=180$",,29,180,90,45,0,,,,,1,,,,,,,
If a body of mass 4 kg is raised vertically the work done is,,easy,"We know that
\[
\mathrm{W}=\mathrm{PE}=\mathrm{mgh}
\]
PE is the potential energy
$\mathrm{W}=9.8 \times 4 \mathrm{h}$
$\mathrm{W}=39.2 \mathrm{h}$",,29,38.2h,392.1h,39.2h,3.92h,,,,,3,,,,,,,
The average power and instantaneous power become equal if work done is,,difficult,"We know that
\[
P_{\text {average }}=\left(P_{1}+P_{2}\right) / 2
\]
And
\[
P_{\text {average }}=\left(W_{1} / t+W_{2} / t\right) / 2
\]
If work done is uniform
$\mathrm{W}_{1}=\mathrm{W}_{2}=\mathrm{W}$
$\mathrm{So}, \mathrm{P}_{\text {average }}=(\mathrm{W} / \mathrm{t}+\mathrm{W} / \mathrm{t}) / 2$
$P_{\text {average }}=W / t=P_{\text {inst }}$",,29,any rate,variable rate,uniform rate,high rate,,,,,3,,,,,,,
The escape velocity of a body in gravitational field of earth is independent of,,moderate,"Escape velocity is given by
\[
\left.V_{\text {excape }}=\sqrt{(} 2 g R\right)
\]
From above we can see that escape velocity is independent of both mass and angle at
which it is thrown",,29,its mass,the angel at which it is thrown,both mass and angle at which it is thrown,Gravitational field of earth,,,,,3,,,,,,,
1 mega volt hour is equal to,,difficult,"\begin{aligned}
&\mathrm{MWh}\\
&1 \times 10^{6} \times(60)(60) \mathrm{W} / \mathrm{s}\\
&=3.6 \times 10^{9} \mathrm{J}
\end{aligned}",,29,3.6 \times 10^{6} \mathrm{J},3.6 \times 10^{12} \mathrm{J},3.6 \times 10^{8} \mathrm{J},3.6 \times 10^{9} \mathrm{J},,,,,4,,,,,,,
Work has same unit as of,,moderate,"We know that
$\mathrm{W}=\mathrm{Fd}=\mathrm{Nm}$
And $\tau$ =F \times r=N m",,29,Torque,Angular Momentum,Linear Momentum,Power,,,,,1,,,,,,,
The amount of work required to stop a moving car is equal to,,moderate,"We know that
Work done = change in KE + change in PE
If the car is moving then
change in $\mathrm{PE}=0$
hence
Work done $=$ change in $\mathrm{KE}$",,29,Kinetic energy of the object ,mass times acceleration,velocity of the object,mass times velocity,,,,,1,,,,,,,
A hoop and disc have same mass and radius. Their rotational KE are related by an equation,,moderate,"We know that
$\mathrm{KE}_{\text {hoop }}=(1 / 2) \mathrm{mr}^{2} \omega^{2}$
$\mathrm{KE}$ is the Kinetic energy $\mathrm{r}$ is the radius $\mathrm{w}$ is the angular velocity
$\mathrm{KE}_{\mathrm{disc}}=(1 / 4) \mathrm{mr}^{2} \omega^{2}$
$\mathrm{KE}_{\text {disc }}=(1 / 2)(1 / 2) \mathrm{mr}^{2} \omega^{2}$
$\mathrm{KE}_{\text {disc }}=(1 / 2) \mathrm{KE}_{\text {hoop }}$
$\mathrm{KE}_{\mathrm{hoop}}=2 \mathrm{KE}_{\mathrm{disc}}$",,30,$\mathrm{KE}_{\text {hoop }}=\mathrm{KE}_{\text {disc }}$,$\mathrm{KE}_{\text {hoop }}=2 \mathrm{KE}_{\text {disc }}$,\mathrm{KE}_{\mathrm{hoop}}=(1 / 2) \mathrm{KE}_{\mathrm{disc}},$\mathrm{KE}_{\text {hoop }}=4 \mathrm{KE}_{\text {disc }}$,,,,,2,,,,,,,
An arc of length equal to the circumference of circle subtends an angle,,moderate,"Circumference of circle $=2 \mathrm{r} \pi$
Angle subtended by the complete rotation $=360$ or $2 \pi$ radian
$\mathrm{Or}$
$1=r \theta$
$\theta=1 / r=2 r \pi / r=2 \pi \operatorname{rad}$",,30,$2 \pi$ radian,$\pi$ radian,$\pi$/2 radian,4$pi$ radian,,,,,1,,,,,,,
The angle between the angular velocity and linear velocity when moving in a circle is,,easy,Linear velocity direction is find out by drawing the tangent at that point. And angular velocity is directed toward the center of circle so the angle between them is 90.,,30,90,180,45,0,,,,,1,,,,,,,
The angular velocity of the minute hand of a clock,,difficult,"Minute hand complete one complete circle in 60minutes
60 minutes $=60 \times 60$ sec $=3600$ sec
So $\omega=\theta / t$
w is the angular velocity $e$ is the angle subtended
$\omega=(2 \lambda / 3600) \mathrm{rads}^{-1}$",,30,(2 \lambda / 60) \mathrm{rads}^{-1},( \lambda / 60) \mathrm{rads}^{-1},(2 \lambda / 3600) \mathrm{rads}^{-1},(\lambda / 3600) \mathrm{rads}^{-1},,,,,3,,,,,,,
"Ten second after an electric fan is turned on, the fan rotates at 300rev/min. Its average angular acceleration is",,difficult,"$\omega=300 \mathrm{rev} / \mathrm{min}$
$\omega=5$ rev $/$ sec
w is the angular velocity
$1 \mathrm{rev}=2 \pi \mathrm{rad}$
$5 \mathrm{rev}=5 \times 2 \times 3.14 \mathrm{rad}$
$5 \mathrm{rev}=31.4 \mathrm{rad}$
Hence $\omega=31.4 \mathrm{rad} / \mathrm{sec}$
$\alpha=\omega / t$
$\alpha$ is the angular acceleration
\begin{array}{l}
\alpha=31.4 / 10 \\
\alpha=3.14 \mathrm{rad} / \mathrm{s}^{2}
\end{array}",,30,30 \mathrm{rad} / \mathrm{s}^{2},3.14 \mathrm{rad} / \mathrm{s}^{2},30 \mathrm{rev} / \mathrm{s}^{2},500 \mathrm{rev} / \mathrm{s}^{2},,,,,2,,,,,,,
The time period of circular motion is defined by the formula,,moderate,"We know that
$\omega=2 \pi \mathrm{f}$
w is the angular velocity
And $\mathrm{f}=1 / \mathrm{T}$
$\omega=2 \pi / \mathrm{T}$
$\mathrm{T}=2 \pi / \mathrm{w}$",,30,\mathrm{T}=\mathrm{rV},\mathrm{T}=\omega \mathrm{w},\mathrm{T}=2 \lambda \omega,\mathrm{T}=2 \lambda / \omega,,,,,4,,,,,,,
The relation between the angular acceleration and linear acceleration is,,easy,"Formula of angular acceleration
\[
a=\alpha \times 1
\]
$\alpha$ is the angular acceleration and a is the linear acceleration",,30,\alpha=a \times 1,a=r \times \alpha,a=\alpha \times r,\mathrm{r}=\alpha \times \mathrm{r},,,,,3,,,,,,,
A ball attached to string moves in a circle of radius of 0.4m with the constant velocity of 2m/s. its angular speed will be,,moderate,"We know that
$v=r w$
w is the angular velocity
$\mathrm{w}=\mathrm{v} / \mathrm{r}$
$\mathrm{w}=2 / 0.4$
$\mathrm{w}=5 \mathrm{rad} / \mathrm{s}$",,30,4 \mathrm{rad} / \mathrm{s},5 \mathrm{rad} / \mathrm{s},1.6 \mathrm{rad} / \mathrm{s},2.8\mathrm{rad} / \mathrm{s},,,,,2,,,,,,,
"When a ball attached to string is turn to move in a circle with constant angular velocity, then the necessary centripetal force is provided by",,easy,The centripetal force is the force that is necessary for a ball to move in a circular path. In this case the required force is provided by the string for the ball to move in a circle,,30,ball,ball and string,string,None,,,,,3,,,,,,,
The angular momentum of a body is conserved if,,moderate,"Angular momentum, like energy and linear momentum, is conserved. Angular momentum is conserved when net external torque is zero, just as linear momentum is conserved when the net external force is zero",,30,Force acting on it is constant,Torque acting on it is zero,force acting on it is zero,None,,,,,2,,,,,,,
If the ball is rotated with the string then the tension in the string when the ball is at maximum distance from the ground?,,moderate,"When the ball is at maximum distance means that the ball is vertically upward and have maximum distance from the ground. And here the tension becomes equal to the weight.
\begin{array}{l}
\mathrm{T}_{\mathrm{x}}=0 \\
\mathrm{T}_{\mathrm{y}}=\mathrm{T} \\
\mathrm{T}=\mathrm{mg}
\end{array}
T is the tension m is the mass and g is the gravitational acceleration",,30,equal to its weight,maximum,zero,less than the weight of the ball,,,,,1,,,,,,,
The angular speed of hour’s hand of the wrist watch is ______ radian per hour.,,moderate,"An hour hand watch takes 12 hours to complete one revolution
$\omega=\theta / \mathrm{t}$
w is the angular velocity
So, $\omega=2 \pi \operatorname{rad} / 12$
$\omega=\pi / 6$ rad/hour",,30,\pi / 4,\pi / 2,\pi / 6,\pi / 12,,,,,3,,,,,,,
If a car is moving in circle of radius 0.4m with the uniform speed of 2m/s. Then what will be its angular speed,,easy,"We know that
$V=r \omega$
w is the angular velocity
$\omega=\mathrm{v} / \mathrm{r}=2 / 0.4=5 \mathrm{rad} / \mathrm{sec}$",,30,4 rad/sec,1.6 rad/sec,5 rad/sec,2.8 rad/sec,,,,,3,,,,,,,
A body have a constant velocity only if it follows _______ path,,moderate,If a body is following a rectilinear path it means that it has same magnitude and direction. In all other option except rectilinear we can have same magnitude of velocity but its direction will kept on changing. In rectilinear we have same magnitude and direction of velocity.,,30,circular,hyperbolic,parabolic,rectilinear,,,,,4,,,,,,,
What will be the angular displacement if a body moves twice in a circle of radius R,,moderate,"Angular displacement for 1 complete rotation $=$ circumference of circle $=2 \pi \mathrm{R}$
Angular displacement for 2 complete rotation $=4 \pi \mathrm{R}$",,30,\pi \mathrm{R},4\pi ,4\pi R,0,,,,,3,,,,,,,
Time taken by the geostationary satellite to complete one complete round around earth,,easy,Geostationary satellite are the satellite whose rotation is synchronize with the rotation of earth so earth takes 24 hours to complete one complete round trip about its axis so due geostationary satellite.,,30,24days,24days,1 month,1 year,,,,,2,,,,,,,
Two object of same mass are rotating in a circle of radius r1 and r2 respectively. What will the ratio of their centripetal forces?,,moderate,"We know that
$\mathrm{F} 1(\text { centripetal })=\mathrm{mv}^{2} / \mathrm{r}_{1}$
\[
\mathrm{F} 2(\text { centripetal })=\mathrm{mv}^{2} / \mathrm{r}_{2}
\]
By taking the ratio
\[
\mathrm{F} 1(\text { centripetal }) / \mathrm{F} 2(\text { centripetal })=\mathrm{r}_{2} / \mathrm{r}_{1}
\]",,30,\left(r_{1} / r_{2}\right),\left(\mathrm{r}_{2} / \mathrm{r}_{1}\right),\left.\sqrt{(} \mathrm{r}_{1} / \mathrm{r}_{2}\right),\left(\mathrm{r}_{1} / \mathrm{r}_{2}\right)^{2},,,,,2,,,,,,,
If a wheel of radius r turn through an angle of 30 then the distance through which any point on its rim move is,,moderate,"We know that
$\mathrm{L}=\mathrm{r} \theta$
L is the length of arc $r$ is the radius $\theta$ is the angle subtended
$\theta=30=\pi / 6$
$\mathrm{L}=\mathrm{r} \pi / 6$",,30,\pi r / 3,\pi r / 6,\pi r / 30,\pi r / 180,,,,,2,,,,,,,
The angle subtended by an arc equal to the radius is,,easy,"if the radius of circle is equal to the arc length then the angle subtended is 1 radian
\[
\theta=\mathrm{L} / \mathrm{r}
\]
L is the length of arc $r$ is the radius $e$ is the angle subtended
$\theta$=1 rad if $\mathrm{L}=\mathrm{r}$",,30,1 rad,one degree,I revolution,All,,,,,1,,,,,,,
A man standing on the floor of elevator and suddenly the cable of elevator broke then elevator is moving in a free fall state. What will the force that floor of the elevator exert on the man,,moderate,Both the elevator and man are decelerating with the constant acceleration of g. So the elevator exert no force on the ma,,30,90N,9N,0.9N,0N,,,,,4,,,,,,,
What is outward force acting on a mass of 10kg when rotating at one end of an inelastic string of 10m along at speed of 1m/s?,,moderate,"We know that
$\mathrm{F}=\mathrm{mv}^{2} / \mathrm{r}$
$\mathrm{F}=(10)(1)^{2} / 10$
$\mathrm{F}=1 \mathrm{N}$",,30,1N,10N,100N,2N,,,,,1,,,,,,,
Global positioning system consist of _________ artificial satellite,,easy,24 artificial satellite placed at certain position will cover the whole Earth and the GPS is available all around the world.,,30,24,10,12,6,,,,,1,,,,,,,
A man of weight W is standing on an elevator which is ascending with an acceleration a. The apparent weight of a man is,,easy," the apparent weight will remain the same irrespective of what the value of a is
Apparent weight = mg
Real weight = mg + ma
REAL weight (or any object's real weight) is that which is registered on the scale. In physics, apparent weight is a property of objects that corresponds with how heavy an object is",,30,mg,$mg-ma$,$mg+ma$,$mg-ma$,,,,,1,,,,,,,
In the solar eclipse of 1919AD bending of starlight was measured to be,,easy, In solar eclipse of 1919AD bending of starlight was measured to be 1.745sec,,30,1.745sec,1.745minute,1.745degree,1.745 radian,,,,,1,,,,,,,
"If $\theta_{\mathrm{E}}$ is the angle of bending of light predicted by Einstein's theory of gravity and $\theta_{\mathrm{N}}$ is
the angle of bending predicted by Newton then",,easy,Information,,30,\theta_{E=}\theta _{N},\theta_{E=}\theta _{N}/2,\theta_{E=}2\theta _{E},None of these,,,,,3,,,,,,,
A satellite moving in the orbit around earth with the constant speed. Which of the following is correct,,moderate,"A satellite is moving in a circle with constant speed but direction of velocity is continuously changing, so
Momentum = mv is a vector quantity and it will change with the change in direction of velocity.
KE is the scalar quantity and will remain same will the change in direction of velocit",,30,KE remains constant,Momentum will change,KE will change,both A and B,,,,,4,,,,,,,
A lift is moving upward with acceleration equal to g/5. The apparent weight of a 60kg man standing in the lift will be (in Newton),,difficult,"We know that
Apparent weight $=\mathrm{mg}+\mathrm{ma}$
Apparent weight $=(60 \mathrm{g})+(\mathrm{g} / 5)(60)$
Apparent weight $=72 \mathrm{g} \mathrm{N}$",,30,48G,72G,12G,60G,,,,,2,,,,,,,
"While measuring the weight of ball by spring scale placed inside the elevator, when will the spring shows maximum weight",,moderate,"We know that
When elevator move upwards
Apparent weight = mg +ma
When elevator move downwards
Apparent weight = mg -ma
When elevator move freely under gravity
Apparent weight = 0",,30,elevator move downwards,elevator moves upwards,elevator is stationary,elevator falling freely,,,,,2,,,,,,,
A body of mass 10kg moves around the circle of radius of 5cm. The work done in one complete round trip will be,,moderate,"A conservative force is a force with the property that the total work done in moving a particle between two points is independent of the taken path. Also the work done in a closed path of conservative force is zero as the displacement is zero.
W = Fd = F 0 = 0J
Gravitational field is the conservative field where work done in a close path equal to zero.",,30,50J,10J,25J,0J,,,,,4,,,,,,,
The ratio of dimension of angular acceleration to angular velocity gives the dimension of,,difficult,"We know that
Unit of Angular velocity $=\operatorname{rad} / \mathrm{sec}$
Unit of Angular acceleration $=\operatorname{rad} / \mathrm{sec}^{2}$
Unit of Angular acceleration/ Unit of Angular velocity $=\left(\operatorname{rad} / \sec ^{2}\right) /(\operatorname{rad} / \sec )$
\[
=1 / \mathrm{sec}=\mathrm{Hz}
\]
Unit of frequency $=\mathrm{Hz}$",,30,Time,Frequency,Mass,Length,,,,,2,,,,,,,
